Date,Comp,Round,Venue,Result,GF,GA,Opponent,Captain,Formation,Opp Formation
18/11/2023,WCQ,First round,Home,W,4,0,South Sudan,Kalidou Koulibaly,4-1-4-1,4-1-4-1
21/11/2023,WCQ,First round,Away,D,0,0, Togo,Kalidou Koulibaly,4-1-4-1,4-1-4-1
06/06/2024,WCQ,First round,Home,D,1,1, Congo DR,Kalidou Koulibaly,3-4-1-2,4-2-3-1
09/06/2024,WCQ,First round,Away,W,1,0, Mauritania,Kalidou Koulibaly,3-4-1-2,4-2-3-1
22/03/2025,WCQ,First round,Neutral,D,0,0,Sudan,Kalidou Koulibaly,4-1-4-1,4-2-3-1
25/03/2025,WCQ,First round,Home,W,2,0, Togo,Kalidou Koulibaly,4-1-4-1,05/04/2001
05/09/2025,WCQ,First round,Home,W,2,0,Sudan,Kalidou Koulibaly,4-1-4-1,4-2-3-1
09/09/2025,WCQ,First round,Away,W,3,2,Congo DR,Kalidou Koulibaly,4-1-4-1,4-1-4-1
10/10/2025,WCQ,First round,Away,W,5,0,South Sudan,Kalidou Koulibaly,4-2-3-1,4-2-3-1
14/10/2025,WCQ,First round,Home,W,4,0,Mauritania,Kalidou Koulibaly,4-2-2-2,4-2-2-2
28/03/2026,Friendlies (M),Friendlies (M),Neutral,W,2,0,Peru,Idrissa Gana Gueye,4-1-4-1,4-2-3-1
31/03/2026,Friendlies (M),Friendlies (M),Home,W,3,1,Gambia,Abdoulaye Seck,03/04/2003,03/04/2003
31/05/2026,Friendlies (M),Friendlies (M),Away,,,,United States,,,
09/06/2026,Friendlies (M),Friendlies (M),Neutral,,,,Saudi Arabia,,,
16/06/2026,World Cup,Group stage,Neutral,,,,France,,,
22/06/2026,World Cup,Group stage,Neutral,,,,Norway,,,
26/06/2026,World Cup,Group stage,Neutral,,,, Iraq,,,
