Name,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Kalidou Koulibaly,DF,34,10,10,900,10,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2
Edouard Mendy,GK,33,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0
Idrissa Gana Gueye,MF,36,9,9,757,8.4,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12
Krépin Diatta,DF,26,8,8,692,7.7,0,2,2,0,0,0,0,0,0,0.26,0.26,0,0.26
Moussa Niakhate,DF,29,8,8,688,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0
Sadio Mané,"FW,MF",33,8,8,638,7.1,5,1,6,4,1,1,2,0,0.71,0.14,0.85,0.56,0.71
Iliman Ndiaye,"FW,MF",25,8,8,606,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3
Pape Matar Sarr,MF,23,10,7,649,7.2,4,1,5,4,0,0,0,0,0.55,0.14,0.69,0.55,0.69
Ismaila Sarr,"MF,FW",27,7,6,517,5.7,3,1,4,3,0,0,0,0,0.52,0.17,0.7,0.52,0.7
Lamine Camara,MF,22,8,5,444,4.9,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,0.2
El Hadji Malick Diouf,DF,21,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Jackson,FW,24,7,4,347,3.9,2,1,3,1,1,1,0,0,0.52,0.26,0.78,0.26,0.52
Habib Diallo,FW,30,5,4,327,3.6,2,3,5,2,0,0,0,0,0.55,0.83,1.38,0.55,1.38
Pape Gueye,MF,27,5,4,319,3.5,1,0,1,1,0,0,2,0,0.28,0,0.28,0.28,0.28
Abdoulaye Seck,DF,33,4,3,302,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Habib Diarra,MF,22,4,3,220,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0
Ismail Jakobs,DF,26,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Boulaye Dia,FW,29,3,2,168,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0
Antoine Mendy,DF,21,2,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdou Diallo,DF,29,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Assane Diao,FW,20,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mory Diaw,GK,32,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilay Camara,DF,23,2,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,MF,36,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathé Ciss,"DF,MF",31,7,0,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherif Ndiaye,"FW,MF",30,5,0,81,0.9,1,0,1,1,0,0,0,0,1.11,0,1.11,1.11,1.11
Formose Mendy,DF,25,2,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikh Tidiane Sabaly,"FW,MF",26,4,0,54,0.6,0,2,2,0,0,0,0,0,0,3.33,3.33,0,3.33
Dion Lopy,MF,23,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallah Sima,"FW,MF",24,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampalys Mendy,MF,33,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikh Niasse,MF,26,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodé Ballo-Touré,"DF,MF",29,0,0,,,,,,,,,,,,,,,
Seny Dieng,GK,31,0,0,,,,,,,,,,,,,,,
Yehvann Diouf,GK,26,0,0,,,,,,,,,,,,,,,
Noah Fadiga,"DF,MF",26,0,0,,,,,,,,,,,,,,,
Mamadou Lamine Camara,MF,23,0,0,,,,,,,,,,,,,,,
Samba Mballo,GK,23,0,0,,,,,,,,,,,,,,,
Moustapha Mbow,DF,25,0,0,,,,,,,,,,,,,,,
Moussa N'Diaye,DF,23,0,0,,,,,,,,,,,,,,,
Abdoulaye Ndiaye,DF,23,0,0,,,,,,,,,,,,,,,
Mikayil Ngor Faye,MF,21,0,0,,,,,,,,,,,,,,,
